Piazza I. A. Kapodistrias,Piazza I. A. Kapodistrias
Piazza S.Mauro,Piazza S.Mauro
Strada della Rivolta di Marez.,Strada della Rivolta di Maresego
Via del Distaccamento Istr.,Via del Distaccamento Istriano
Via della II Brig. d'Oltrem.,Via della II Brigata d'Oltremare
Via delle Brig. Proletarie,Via delle Brigata Proletarie
Via J. Vajkard Valvasor,Via J. Vajkard Valvasor
Via S.Pietro,Via S.Pietro
